S No,Name of the sender of information,
,,Date of Receiving in the
,,Commission
,National Parties,
1,Aam Aadmi Paity,
,,15 11 2023
2,Bharatiya Janata Paity,
,,15 11 2023
3,Communist Party of India (Marxist),
,,06 11 2023
4&5,Bahujan Samaj Party (2 Envelopes),
,,07 11 2023/14 11 2023
6&7,Indian National Congress (2 Envelopes),
,,15 11 2023/09 11 2023
,State Parties,
8,Communist Party of India,06 11 2023
9,Samajwadi Party,07 11 2023
10,Jammu & Kashmir National Conference,13 11 2023
11,Telugu Desam Party,14 11 2023
12,Shiiomam Akah Dal,14 11 2023
13 & 14,All India United Demociatic Front (2 Envelopes),14 11 2023
15,Maharashtia Navmrman Sena,14 11 2023
16& 17,People's Party of Arunachal (2 envelopes),14 11 2023/16 11 2023
18,All India Anna Diavida Munnettia Kazhagam,14 11 2023
19,All India Foiward Bloc,14 11 2023
20,Yuvajana Sramika Rythu Congress Party,15 11 2023
21,Dravida Munnetia Kazhagam,15 11 2023
22,Biju Janata Dal,15 11 2023
23,Janata Dal (Seculai),15 11 2023
,Registered Unrecognized Parties,
36,Open People's Party 06 11 2023 ,
37,Sarvajan Kalyan Loktantnk Party 07 11 2023 ,
38,Bhartiya Rashtriya Dal 08 11 2023,
39,Brij Kianti Dal 08 11 2023,
40,Vishal Janta Party 08 11 2023,
41,Rashtriya Manav Party 08 11 2023,
42,Laboui Party (S) 08 11 2023,
43,Rastiiya Aam Jan Seva Party 09 11 2023,
44,Pravi itti Party 09 11 2023,
54,United Ndga Democratic Party,
,,10 11 2023
55,Bahujan Vikas Aghadi,
,,10 11 2023
56,Indian National Samaj Party,10 11 2023
57,Netaji Congress Sena,10 11 2023
58,Rashtnya Republican Party,10 11 2023
59,Udiyoman Democratic Party of India,10 11 2023
60,Delhi Janta Party,10 11 2023
61,Mazdooi Ekta Party,10 11 2023
62,Vishva Shakti Party,10 11 2023
63,#NAME?,10 11 2023
64,ndian Business Party,1 2023
65,Gareeb Samaj Swaraj Party,2023
66,eoples Green Party,1 1 1 2023
67,National Democratic Party (Secular),11 2023
68,Bhaiatiya Kisan Paiivaitan Party,
,,2023
69,National Inquilab Party,
,,2023
70,Jindabad Kianti Party,
,,2023
71,Jan Shakti Dal,
,,2023
72&73,Bharatiya Grameen Dal( 2 Envelopes),
,,2023/13 11 2023
74,Jai Bharat Party,
,,2023
75,Saman Adhikar Party,
,,2023
76,Bhartiya Sarvjan Party,
,,2023
77,Bhaiat Ki Lok Jimmedai Party,
,,2023
78,Tipraland State Party,11 11 2023
79,Rashtriya Aikta Manch Party,13 11 2023
80,Fauji Janta Party,13 11 2023
81,Swaiaj Janata Party,13 11 2023
82,Bhaiastachar Apraadh Mukt Nyay Dal,13 11 2023
,Bharatiya Prajashakti Party,13 11 2023
84,Rashtriya Bhagidari Party,13 11 2023
85,Bhagidaii Party(P),13 11 2023
86,Ambedkar Samaj Party,13 11 2023
87,Desh Shakti Party,13 11 2023
88,Action Party (Rajnaitik Dal),13 11 2023
89,Jan Sandesh Party,13 11 2023
90,Public Party,13 11 2023
91,Rashtriya Lok Praja Rajay Party,13 11 2023
92,Bharat Kaumi Dal,
,,13 11 2023
93,Samdaishi Samaj Party,
,,13 11 2023
94,Jan Rashtiawadi Sangathan,
,,13 11 2023~
95,Bharatiya Congress Paksha,
,,13 11 2023'
,Bundelkhand Kranti Dal,
,,13 11 2023
97,Aadarsh Sangram Party,
,,13 11 2023'
98,Hindustani Awaam Party,
,,13 11 2023
99,Sacho Sach Party,
,,13 11 2023
100,Bajjikanchal Vikas Party,
,,13 11 2023
101,Awami Samta Paity,
,,13 11 2023
102,Sanman Rajkiya Paksha,13 11 2023
103,Rashtiiya Krantikari Samajwadi Party,13 11 2023
104,Bhaiatiya Dklavya Party,13 11 2023
105,Rashtiiya Hindustan Shakti Dal,2023
106,Akah Dal (1920),13 11 2023
107,Tamilaga Makkal Nala Katchi,13 11 2023
108 &,Alliance of Democratic Refoims Party,13 11 2023/16 11 2023
109,(2 Envelopes),
10,Gunj Satya Ni Janata Party,13 11 2023
11,Rajlok Paity,14 11 2023
12,Jan Samuh Party,14 11 2023
13,",ok Samya Party",14 11 2023
14,Jai Sevalal Bahujan Vikas Party,14 11 2023
,Janahitha Paksha,14 11 2023
116,Telangana Republican Party,
,,14 11 2023
117,Jay Vidarbha Party,
,,14 11 2023
118,New Rashtriya Samaj Party,
,,14 11 2023
119,Piahat Janshakti Paksha,
,,14 11 2023
120,Bhaitiya Jagran Party,
,,14 11 2023
121,Yuva Samndhi Dal,
,,14 11 2023
122,Bhartiya Panchsheel party,
,,14 11 2023
123,Bharatiya Baluijan Samta Party,14 11 2023
124,Kamera Samaj Party,14 11 2023
125,Lok Sangram,14 11 2023
126,Jana Shankhaaraavam party,14 11 2023
127,Sarvjan Sewa Party,14 11 2023
128,Aapki Apni Party (Peoples),14 11 2023
129,Samajwadi Lok Parishad,14 11 2023
130,Hindusthan Niiman Dal,14 11 2023
131,National Demociatic Mission,14 11 2023
132,Bhaiatiy Aam Janta Adhikar Party,14 11 2023
